epoch,elapsed_s,train_loss,train_accuracy,val_loss,val_accuracy,val_auc,val_f1
1,12.81,0.729519,0.498562,0.701284,0.497241,0.50025,0.287361
2,9.28,0.726738,0.501382,0.70046,0.496757,0.499922,0.289891
3,9.29,0.725308,0.499574,0.699981,0.497209,0.499686,0.294128
4,9.3,0.723867,0.500688,0.699632,0.498112,0.49945,0.281132
5,9.34,0.722343,0.500272,0.698973,0.497563,0.499343,0.30049
6,9.48,0.721477,0.500305,0.69877,0.497563,0.498626,0.303556
7,9.36,0.720877,0.501261,0.69835,0.498725,0.498873,0.314186
8,9.33,0.720477,0.500026,0.698155,0.498887,0.498747,0.310296
9,9.37,0.718942,0.499728,0.698107,0.49808,0.4987,0.30854
10,9.92,0.718663,0.500902,0.697677,0.497628,0.498598,0.326133
11,10.56,0.717603,0.501055,0.697632,0.498854,0.49827,0.322381
1,10.27,0.715736,0.537543,0.642979,0.660438,0.757488,0.552712
2,9.35,0.641385,0.638436,0.577405,0.758641,0.874569,0.718866
3,9.34,0.584353,0.704353,0.529643,0.796915,0.902018,0.774663
4,9.39,0.538617,0.749777,0.490754,0.822183,0.914169,0.810118
5,9.48,0.501956,0.781529,0.458801,0.835963,0.92258,0.828248
6,9.39,0.470507,0.806783,0.432816,0.848388,0.928406,0.844848
7,9.64,0.444957,0.823416,0.40943,0.85594,0.933391,0.853659
8,10.03,0.421922,0.839072,0.391825,0.861329,0.937784,0.859156
9,9.76,0.402202,0.849153,0.374119,0.872785,0.941726,0.873743
10,9.43,0.386157,0.858774,0.359588,0.878368,0.944911,0.879758
11,9.42,0.370633,0.866274,0.348873,0.880821,0.947674,0.881456
12,9.82,0.357327,0.872216,0.334343,0.884855,0.95019,0.885941
13,9.79,0.34513,0.877759,0.324742,0.886598,0.952096,0.8873
14,9.4,0.335103,0.881482,0.314289,0.891019,0.954324,0.892899
15,9.42,0.325803,0.884843,0.305536,0.893278,0.955771,0.895728
16,9.5,0.318127,0.886549,0.300671,0.894666,0.957267,0.896322
17,9.62,0.310337,0.890055,0.29342,0.89644,0.958409,0.897955
18,9.53,0.302795,0.892124,0.285992,0.89828,0.959599,0.900593
19,9.77,0.297848,0.893552,0.281322,0.899894,0.960539,0.902114
20,9.55,0.29297,0.894686,0.277537,0.901281,0.961425,0.903602
21,9.48,0.288101,0.89584,0.272253,0.90212,0.962147,0.904083
22,9.52,0.283529,0.897542,0.268542,0.90283,0.963012,0.905276
23,9.52,0.279227,0.899031,0.265407,0.903702,0.963512,0.906016
24,9.87,0.275436,0.899386,0.262938,0.904444,0.96403,0.906667
25,9.41,0.272396,0.900225,0.257743,0.905186,0.964727,0.907819
26,9.39,0.269823,0.901165,0.256061,0.906251,0.965161,0.908472
27,9.6,0.266733,0.901189,0.253684,0.906574,0.965591,0.908302
28,9.88,0.264225,0.902165,0.250073,0.907251,0.966108,0.909234
29,9.41,0.261332,0.90317,0.248284,0.908026,0.96645,0.910518
30,9.44,0.259172,0.903968,0.246038,0.9088,0.966742,0.910998
31,9.47,0.256722,0.904517,0.244586,0.908768,0.967085,0.910501
32,9.7,0.254958,0.904828,0.242646,0.909607,0.967456,0.912026
33,9.44,0.253167,0.905505,0.240482,0.909801,0.967705,0.911132
34,9.44,0.251192,0.906006,0.238457,0.910285,0.968016,0.911707
35,9.57,0.249528,0.905925,0.237087,0.910672,0.968329,0.912786
36,9.43,0.248399,0.906203,0.236189,0.910188,0.968628,0.912952
37,9.43,0.246156,0.907377,0.234481,0.911511,0.968841,0.913551
38,9.66,0.244598,0.907393,0.232646,0.911576,0.96918,0.913934
39,9.5,0.243291,0.908006,0.232354,0.912124,0.969299,0.914001
40,9.4,0.242291,0.908083,0.230805,0.912673,0.969559,0.914302
41,9.44,0.240524,0.909011,0.229136,0.912996,0.969826,0.915022
42,9.4,0.239986,0.908906,0.22811,0.913189,0.970033,0.915153
43,9.43,0.238759,0.909265,0.225992,0.913415,0.970319,0.915759
44,9.42,0.237121,0.910003,0.224856,0.913835,0.97044,0.915602
45,9.41,0.236447,0.909511,0.224638,0.913512,0.970609,0.915136
46,9.41,0.234973,0.910407,0.223862,0.91419,0.970836,0.916307
47,9.47,0.233743,0.911169,0.222344,0.914383,0.971018,0.916596
48,9.38,0.233287,0.910685,0.220997,0.913964,0.97113,0.915601
49,9.48,0.23158,0.911682,0.22091,0.915126,0.97133,0.917165
50,9.44,0.231205,0.911552,0.2201,0.914416,0.971431,0.915697
51,9.4,0.230334,0.911548,0.218886,0.915319,0.971709,0.917453
52,9.4,0.229658,0.912271,0.21816,0.915674,0.971854,0.91749
53,9.51,0.228681,0.912351,0.217199,0.915319,0.971962,0.916799
54,9.47,0.227042,0.9125,0.216865,0.915932,0.97211,0.91754
55,9.43,0.227313,0.912404,0.21494,0.915771,0.972269,0.917206
56,9.5,0.226311,0.913013,0.214482,0.916675,0.972452,0.91842
57,9.42,0.225145,0.91365,0.2144,0.916772,0.972568,0.918492
58,9.46,0.224797,0.913469,0.213473,0.916675,0.972746,0.918744
59,9.41,0.224691,0.913561,0.212403,0.917127,0.972832,0.918837
60,9.44,0.223595,0.913723,0.211598,0.917223,0.972985,0.919302
61,10.08,0.222711,0.913808,0.211582,0.917449,0.973055,0.919194
62,10.34,0.221978,0.91461,0.2104,0.917675,0.973233,0.91959
63,9.61,0.221552,0.914634,0.210853,0.917804,0.973269,0.919043
64,9.82,0.220642,0.914852,0.209966,0.918095,0.973458,0.919582
65,10.15,0.219749,0.915151,0.208727,0.918159,0.973618,0.920181
1,14.82,0.715736,0.537543,0.642979,0.660438,0.757488,0.552712
66,10.68,0.219189,0.915316,0.208645,0.918546,0.973658,0.919929
2,10.1,0.641385,0.638436,0.577405,0.758641,0.874569,0.718866
67,10.1,0.219199,0.915498,0.207982,0.918353,0.973793,0.920083
3,9.95,0.584353,0.704353,0.529643,0.796915,0.902018,0.774663
68,9.91,0.218822,0.91509,0.206962,0.918611,0.973914,0.920412
4,9.79,0.538617,0.749777,0.490754,0.822183,0.914169,0.810118
69,9.78,0.218202,0.915752,0.206602,0.919353,0.974059,0.921224
5,9.56,0.501956,0.781529,0.458801,0.835963,0.92258,0.828248
70,9.55,0.217444,0.916244,0.205867,0.919353,0.97413,0.921155
6,9.7,0.470507,0.806783,0.432816,0.848388,0.928406,0.844848
71,9.69,0.216829,0.916256,0.205622,0.91945,0.974258,0.921376
7,9.88,0.444957,0.823416,0.40943,0.85594,0.933391,0.853659
72,9.91,0.216531,0.916002,0.205454,0.919321,0.974323,0.920761
8,9.6,0.421922,0.839072,0.391825,0.861329,0.937784,0.859156
73,9.6,0.215929,0.916478,0.204809,0.919741,0.974471,0.921424
9,9.77,0.402202,0.849153,0.374119,0.872785,0.941726,0.873743
74,9.76,0.214977,0.91676,0.204761,0.919353,0.974591,0.921811
10,10.34,0.386157,0.858774,0.359588,0.878368,0.944911,0.879758
75,10.35,0.214992,0.917015,0.203994,0.919934,0.974639,0.921321
11,11.5,0.370633,0.866274,0.348873,0.880821,0.947674,0.881456
76,11.53,0.214356,0.916853,0.202996,0.919837,0.974736,0.921522
12,10.96,0.357327,0.872216,0.334343,0.884855,0.95019,0.885941
77,10.91,0.213567,0.916986,0.203655,0.920031,0.974826,0.921293
13,11.28,0.34513,0.877759,0.324742,0.886598,0.952096,0.8873
78,11.29,0.213732,0.917067,0.202253,0.920225,0.974928,0.92195
14,10.16,0.335103,0.881482,0.314289,0.891019,0.954324,0.892899
79,10.12,0.212302,0.917362,0.201972,0.920515,0.974992,0.921728
15,10.59,0.325803,0.884843,0.305536,0.893278,0.955771,0.895728
80,10.58,0.212995,0.917511,0.201306,0.920451,0.975117,0.922065
16,9.69,0.318127,0.886549,0.300671,0.894666,0.957267,0.896322
81,9.64,0.211838,0.917648,0.200951,0.920902,0.975215,0.922523
17,10.86,0.310337,0.890055,0.29342,0.89644,0.958409,0.897955
82,10.88,0.211236,0.9181,0.200439,0.920805,0.97533,0.922835
83,10.13,0.211203,0.918193,0.201337,0.920805,0.975357,0.921947
18,10.2,0.302795,0.892124,0.285992,0.89828,0.959599,0.900593
84,10.31,0.210766,0.91814,0.199277,0.921806,0.975485,0.923509
